code,catalog_name,catalog_depth,parent_catalog_code,full_catalog_name
505297,Pet Waste Disposal Systems & Tools,3,2,Animals & Pet Supplies > Pet Supplies > Pet Waste Disposal Systems & Tools
7,Reptile & Amphibian Supplies,3,2,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies
5026,Reptile & Amphibian Food,4,7,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Food
5027,Reptile & Amphibian Habitat Accessories,4,7,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Habitat Accessories
5028,Reptile & Amphibian Habitat Heating & Lighting,4,7,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Habitat Heating & Lighting
5029,Reptile & Amphibian Habitats,4,7,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Habitats
5030,Reptile & Amphibian Substrates,4,7,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Substrates
5013,Small Animal Supplies,3,2,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies
5014,Small Animal Bedding,4,5013,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Bedding
5015,Small Animal Food,4,5013,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Food
5016,Small Animal Habitat Accessories,4,5013,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Habitat Accessories
5017,Small Animal Habitats & Cages,4,5013,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Habitats & Cages
7517,Small Animal Treats,4,5013,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Treats
8474,Vehicle Pet Barriers,3,2,Animals & Pet Supplies > Pet Supplies > Vehicle Pet Barriers
166,Apparel & Accessories,1,0,Apparel & Accessories
1604,Clothing,2,166,Apparel & Accessories > Clothing
5322,Activewear,3,1604,Apparel & Accessories > Clothing > Activewear
3951,American Football Pants,4,5322,Apparel & Accessories > Clothing > Activewear > American Football Pants
5697,Bicycle Activewear,4,5322,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear
3128,Bicycle Bibs,5,5697,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear > Bicycle Bibs
3455,Bicycle Jerseys,5,5697,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear > Bicycle Jerseys
3188,Bicycle Shorts & Briefs,5,5697,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear > Bicycle Shorts & Briefs
6087,Bicycle Skinsuits,5,5697,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear > Bicycle Skinsuits
3729,Bicycle Tights,5,5697,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear > Bicycle Tights
5378,Boxing Shorts,4,5322,Apparel & Accessories > Clothing > Activewear > Boxing Shorts
499979,"Dance Dresses, Skirts & Costumes",4,5322,"Apparel & Accessories > Clothing > Activewear > Dance Dresses, Skirts & Costumes"
5460,Hunting Clothing,4,5322,Apparel & Accessories > Clothing > Activewear > Hunting Clothing
5462,Ghillie Suits,5,5460,Apparel & Accessories > Clothing > Activewear > Hunting Clothing > Ghillie Suits
5461,Hunting & Fishing Vests,5,5460,Apparel & Accessories > Clothing > Activewear > Hunting Clothing > Hunting & Fishing Vests
5552,Hunting & Tactical Pants,5,5460,Apparel & Accessories > Clothing > Activewear > Hunting Clothing > Hunting & Tactical Pants
5379,Martial Arts Shorts,4,5322,Apparel & Accessories > Clothing > Activewear > Martial Arts Shorts
5517,Motorcycle Protective Clothing,4,5322,Apparel & Accessories > Clothing > Activewear > Motorcycle Protective Clothing
6006,Motorcycle Jackets,5,5517,Apparel & Accessories > Clothing > Activewear > Motorcycle Protective Clothing > Motorcycle Jackets
7003,Motorcycle Pants,5,5517,Apparel & Accessories > Clothing > Activewear > Motorcycle Protective Clothing > Motorcycle Pants
5463,Motorcycle Suits,5,5517,Apparel & Accessories > Clothing > Activewear > Motorcycle Protective Clothing > Motorcycle Suits
5555,Paintball Clothing,4,5322,Apparel & Accessories > Clothing > Activewear > Paintball Clothing
182,Baby & Toddler Clothing,3,1604,Apparel & Accessories > Clothing > Baby & Toddler Clothing
5408,Baby & Toddler Bottoms,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Bottoms
5549,Baby & Toddler Diaper Covers,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Diaper Covers
5424,Baby & Toddler Dresses,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Dresses
5425,Baby & Toddler Outerwear,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear
5622,Baby & Toddler Outfits,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits
5412,Baby & Toddler Sleepwear,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Sleepwear
5423,Baby & Toddler Socks & Tights,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Socks & Tights
5409,Baby & Toddler Swimwear,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear
5410,Baby & Toddler Tops,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops
5411,Baby One-Pieces,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby One-Pieces
5621,Toddler Underwear,4,182,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Toddler Underwear
2271,Dresses,3,1604,Apparel & Accessories > Clothing > Dresses
5182,One-Pieces,3,1604,Apparel & Accessories > Clothing > One-Pieces
5250,Jumpsuits & Rompers,4,5182,Apparel & Accessories > Clothing > One-Pieces > Jumpsuits & Rompers
5490,Leotards & Unitards,4,5182,Apparel & Accessories > Clothing > One-Pieces > Leotards & Unitards
7132,Overalls,4,5182,Apparel & Accessories > Clothing > One-Pieces > Overalls
203,Outerwear,3,1604,Apparel & Accessories > Clothing > Outerwear
5506,Chaps,4,203,Apparel & Accessories > Clothing > Outerwear > Chaps
5598,Coats & Jackets,4,203,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
5514,Rain Pants,4,203,Apparel & Accessories > Clothing > Outerwear > Rain Pants
3066,Rain Suits,4,203,Apparel & Accessories > Clothing > Outerwear > Rain Suits
5909,Snow Pants & Suits,4,203,Apparel & Accessories > Clothing > Outerwear > Snow Pants & Suits
1831,Vests,4,203,Apparel & Accessories > Clothing > Outerwear > Vests
7313,Outfit Sets,3,1604,Apparel & Accessories > Clothing > Outfit Sets
204,Pants,3,1604,Apparel & Accessories > Clothing > Pants
212,Shirts & Tops,3,1604,Apparel & Accessories > Clothing > Shirts & Tops
207,Shorts,3,1604,Apparel & Accessories > Clothing > Shorts
1581,Skirts,3,1604,Apparel & Accessories > Clothing > Skirts
6229,Knee-Length Skirts,4,1581,Apparel & Accessories > Clothing > Skirts > Knee-Length Skirts
6228,Long Skirts,4,1581,Apparel & Accessories > Clothing > Skirts > Long Skirts
2331,Mini Skirts,4,1581,Apparel & Accessories > Clothing > Skirts > Mini Skirts
5344,Skorts,3,1604,Apparel & Accessories > Clothing > Skorts
208,Sleepwear & Loungewear,3,1604,Apparel & Accessories > Clothing > Sleepwear & Loungewear
5713,Loungewear,4,208,Apparel & Accessories > Clothing > Sleepwear & Loungewear > Loungewear
5513,Nightgowns,4,208,Apparel & Accessories > Clothing > Sleepwear & Loungewear > Nightgowns
2580,Pajamas,4,208,Apparel & Accessories > Clothing > Sleepwear & Loungewear > Pajamas
2302,Robes,4,208,Apparel & Accessories > Clothing > Sleepwear & Loungewear > Robes
1594,Suits,3,1604,Apparel & Accessories > Clothing > Suits
5183,Pant Suits,4,1594,Apparel & Accessories > Clothing > Suits > Pant Suits
1516,Skirt Suits,4,1594,Apparel & Accessories > Clothing > Suits > Skirt Suits
1580,Tuxedos,4,1594,Apparel & Accessories > Clothing > Suits > Tuxedos
211,Swimwear,3,1604,Apparel & Accessories > Clothing > Swimwear
5388,Traditional & Ceremonial Clothing,3,1604,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing
6031,Dirndls,4,5388,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Dirndls
5674,Hakama Trousers,4,5388,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Hakama Trousers
6227,Japanese Black Formal Wear,4,5388,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Japanese Black Formal Wear
5673,Kimono Outerwear,4,5388,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimono Outerwear
5678,Haori Jackets,5,5673,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimono Outerwear > Haori Jackets
5677,Kimono Coats,5,5673,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimono Outerwear > Kimono Coats
